application,body,U_inf_mps,Re,u_tau_mps,shape,spacing_um,h_over_s,s_plus,lg_plus,DR_friction_pct,in_band
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,scalloped,80,0.5,3.359,1.84,1.023,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,v-groove,80,0.5,3.359,1.68,0.891,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,u-groove,80,0.5,3.359,1.94,0.913,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,blade,100,0.5,4.199,2.894,2.678,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,scalloped,100,0.5,4.199,2.3,1.279,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,v-groove,100,0.5,4.199,2.1,1.114,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,u-groove,100,0.5,4.199,2.425,1.141,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,blade,150,0.5,6.299,4.341,4.017,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,scalloped,150,0.5,6.299,3.45,1.918,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,v-groove,150,0.5,6.299,3.149,1.67,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,u-groove,150,0.5,6.299,3.638,1.712,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,blade,200,0.5,8.399,5.788,5.356,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,scalloped,200,0.5,8.399,4.6,2.558,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,v-groove,200,0.5,8.399,4.199,2.227,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,u-groove,200,0.5,8.399,4.85,2.282,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,blade,20,0.5,1.026,0.707,0.654,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,scalloped,20,0.5,1.026,0.562,0.312,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,v-groove,20,0.5,1.026,0.513,0.272,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,u-groove,20,0.5,1.026,0.592,0.279,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,blade,30,0.5,1.539,1.061,0.981,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,scalloped,30,0.5,1.539,0.843,0.469,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,v-groove,30,0.5,1.539,0.769,0.408,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,u-groove,30,0.5,1.539,0.889,0.418,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,blade,40,0.5,2.052,1.414,1.308,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,scalloped,40,0.5,2.052,1.124,0.625,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,v-groove,40,0.5,2.052,1.026,0.544,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,u-groove,40,0.5,2.052,1.185,0.557,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,blade,50,0.5,2.565,1.768,1.635,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,scalloped,50,0.5,2.565,1.405,0.781,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,v-groove,50,0.5,2.565,1.282,0.68,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,u-groove,50,0.5,2.565,1.481,0.697,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,blade,60,0.5,3.078,2.121,1.962,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,scalloped,60,0.5,3.078,1.686,0.937,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,v-groove,60,0.5,3.078,1.539,0.816,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,u-groove,60,0.5,3.078,1.777,0.836,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,blade,80,0.5,4.103,2.828,2.617,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,scalloped,80,0.5,4.103,2.248,1.25,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,v-groove,80,0.5,4.103,2.052,1.088,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,u-groove,80,0.5,4.103,2.37,1.115,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,blade,100,0.5,5.129,3.535,3.271,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,scalloped,100,0.5,5.129,2.809,1.562,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,v-groove,100,0.5,5.129,2.565,1.36,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,u-groove,100,0.5,5.129,2.962,1.394,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,blade,150,0.5,7.694,5.303,4.906,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,scalloped,150,0.5,7.694,4.214,2.343,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,v-groove,150,0.5,7.694,3.847,2.04,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,u-groove,150,0.5,7.694,4.443,2.091,False
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,blade,200,0.5,10.259,7.07,6.542,True
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,scalloped,200,0.5,10.259,5.619,3.124,True
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,v-groove,200,0.5,10.259,5.129,2.721,True
uav_wing,"flat-plate analogy, friction-dominated",15,288155.7598702001,0.80102,u-groove,200,0.5,10.259,5.924,2.787,True
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,blade,20,0.5,1.208,0.833,0.771,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,scalloped,20,0.5,1.208,0.662,0.368,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,v-groove,20,0.5,1.208,0.604,0.32,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,u-groove,20,0.5,1.208,0.698,0.328,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,blade,30,0.5,1.813,1.249,1.156,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,scalloped,30,0.5,1.813,0.993,0.552,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,v-groove,30,0.5,1.813,0.906,0.481,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,u-groove,30,0.5,1.813,1.047,0.493,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,blade,40,0.5,2.417,1.666,1.541,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,scalloped,40,0.5,2.417,1.324,0.736,False
