application,body,U_inf_mps,Re,u_tau_mps,shape,spacing_um,h_over_s,s_plus,lg_plus,DR_friction_pct,in_band
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,v-groove,40,0.5,0.232,0.116,0.062,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,u-groove,40,0.5,0.232,0.134,0.063,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,blade,50,0.5,0.29,0.2,0.185,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,scalloped,50,0.5,0.29,0.159,0.088,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,v-groove,50,0.5,0.29,0.145,0.077,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,u-groove,50,0.5,0.29,0.168,0.079,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,blade,75,0.5,0.436,0.3,0.278,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,scalloped,75,0.5,0.436,0.239,0.133,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,v-groove,75,0.5,0.436,0.218,0.116,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,u-groove,75,0.5,0.436,0.252,0.118,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,blade,100,0.5,0.581,0.4,0.37,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,scalloped,100,0.5,0.581,0.318,0.177,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,v-groove,100,0.5,0.581,0.29,0.154,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,u-groove,100,0.5,0.581,0.336,0.158,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,blade,10,0.5,0.063,0.044,0.04,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,scalloped,10,0.5,0.063,0.035,0.019,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,v-groove,10,0.5,0.063,0.032,0.017,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,u-groove,10,0.5,0.063,0.037,0.017,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,blade,15,0.5,0.095,0.066,0.061,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,scalloped,15,0.5,0.095,0.052,0.029,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,v-groove,15,0.5,0.095,0.048,0.025,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,u-groove,15,0.5,0.095,0.055,0.026,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,blade,20,0.5,0.127,0.087,0.081,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,scalloped,20,0.5,0.127,0.069,0.039,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,v-groove,20,0.5,0.127,0.063,0.034,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,u-groove,20,0.5,0.127,0.073,0.034,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,blade,25,0.5,0.158,0.109,0.101,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,scalloped,25,0.5,0.158,0.087,0.048,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,v-groove,25,0.5,0.158,0.079,0.042,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,u-groove,25,0.5,0.158,0.091,0.043,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,blade,30,0.5,0.19,0.131,0.121,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,scalloped,30,0.5,0.19,0.104,0.058,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,v-groove,30,0.5,0.19,0.095,0.05,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,u-groove,30,0.5,0.19,0.11,0.052,False
